Name,Devanagari,Sandhi,English,Etymology,YogaSeries,Before,After,Ashtanga,Yin,Baptiste,SeriesHot,Categories,Open,OpenAsana,Stable,StableAsana,Preparation,Counterposes,ID
Adho Mukha Svanasana,अधोमुखश्वानासन,Adhomukhaśvānāsana,Downward-Facing Dog Pose,Adho = downward; Mukha = face; Śvāna = dog; Āsana = posture,,,,,,x,Despertar,2,"Calves, knee flexors, hip extensors, elbow flexors, shoulder extensors, shoulder retractors.","[[Ardhottānāsana]], [[Bharmanāsana]], [[Uttānāsana]], [[Anāhatāsana]]. For arms and shoulders, these respective arm forms: [[Tāḍāsana]], [[Gomukhāsana B]], [[Garuḍāsana]].","Intrinsic foot muscles, internal rotators of the leg, hip flexors and adductors, back extensors, transversus abdominis, shoulder stabilizers (emphasis protractors, flexors, extensors), external rotators of the arm, elbow extensors, wrist flexors.","[[Añjanēyāsana]], [[Bharmanāsana]], [[Phalakāsana]], [[Baddhakoṇāsana A]], [[Tāḍāsana]], [[Uttānāsana]]. Modify this pose with the hands placed hip height on a wall, hips at a right angle, torso neutral, and arms extended fully.","General conditioning pose; good prep for standing poses, arm balances, and full inversions, including [[Bakāsana B]], [[Adhomukhavṛkṣāsana]], [[Śīrṣāsana]]; [[Uttānāsana]].","[[Bālāsana]], [[Apānāsana]], [[Supta Matsyendrāsana]], [[Sarvāṅgāsana]], [[Śavāsana]].",1
Adho Mukha Vrksasana,अधोमुखवृक्षासन,Adhomukhavṛkṣāsana,Tree Pose,Vṛkṣa = tree,tṛtīya śreṇī,Ekapādarājakapotāsana,Ūrdhva Dhanurāsana,x,,,,1,"Wrist flexors, shoulder extensors, back extensors, hip flexors, knee flexors.","[[Adhomukhaśvānāsana]], [[Bharmanāsana]], [[Piñchamayūrāsana]], [[Tāḍāsana]], [[Phalakāsana]], [[Ūrdhva Dhanurāsana]]. For arms and shoulders, these respective arm forms: [[Tāḍāsana]], [[Gomukhāsana B]], [[Garuḍāsana]].","Wrist synergists, elbow synergists, shoulder stabilizers (emphasis flexors, protractors, retractors), obliques, abdominals, back extensors, hip flexors, adductors, and extensors, internal rotators of the leg, knee extensors.","[[Adhomukhaśvānāsana]], [[Ūrdhvamukhaśvānāsana]], [[Phalakāsana]], [[Piñchamayūrāsana]], [[Baddhakoṇāsana A]], [[Ūrdhva Dhanurāsana]], [[Śīrṣāsana]], [[Nāvāsana]], [[Chaturāṅgadaṇḍāsana]], [[Tāḍāsana]], [[Vasiṣṭhāsana]].","[[Viparīccakrāsana]]; [[Adhomukhavṛkṣāsana]] to [[Chaturāṅgadaṇḍāsana]], or [[Ūrdhva Dhanurāsana]], [[Ūrdhvakukkutāsana]]; ticktocks, [[Śīrṣāsana]], [[Piñchamayūrāsana]].","[[Bālāsana]], [[Uttānāsana]], [[Bhuja]], [[Śavāsana]].",2
Agnistambhasana,अग्निस्तम्भासन,Agnistambhāsana,Fire Log Pose,Agni = fire; Stambha = pillar; Āsana = posture,,,,,x,x,Apertura,3,"Hip adductors and extensors, internal rotators of the leg, back extensors, calves.","[[Ardhabaddhapadmottānāsana]] Prep, [[Baddhakoṇāsana B]], [[Ekapādarājakapotāsana]] Prep, [[Gomukhāsana B]], [[Upaviṣṭhakoṇāsana A]].","Pelvic floor, transversus abdominis, knee flexors, foot dorsiflexors.","[[Ardhacandrāsana]], [[Baddhakoṇāsana B]], [[Bālāsana]], [[Bharmanāsana]], [[Mālāsana]], [[Paścimottānāsana A]], [[Prasāritapādottānāsana A]],[[Prasāritapādottānāsana B]] and [[Prasāritapādottānāsana D]].","[[Ekapādarājakapotāsana]], [[Naṭarājāsana A]].",Simple twist followed by long forward bends.,3
Alasana,आलासन,Ālāsana,Lounge Pose,Ālā = relaxed/reclining; Āsana = posture,,,,,x,x,Vitalidad,5,"Back leg: calf, knee flexors, hip flexors. Front leg: hip extensors. Abdominals, shoulder elevators, extensors, protractors.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]], [[Bharmanāsana]], [[Utkaṭāsana]], [[Ekapādabakāsana A]].","Intrinsic foot muscles. Front leg: hip stabilizers (emphasis extensors, adductors) knee flexors. Back leg: foot dorsiflexors, hip flexors, knee extensors. Back extensors, transversus abdominis, shoulder retractors and protractors, external rotators of the arm, elbow extensors.","[[Adhomukhaśvānāsana]], [[Ūrdhvamukhaśvānāsana]], [[Añjanēyāsana]], [[Bharmanāsana]], [[Rājakapotāsana]], [[Garuḍāsana]], [[Prasāritapādottānāsana A]], [[Tāḍāsana]], [[Tāḍāsana]], [[Utkaṭāsana]], [[Uttānāsana]], [[Utthitatrikoṇāsana]], [[Vīrabhadrāsana B]].",,,4
Anahatasana,अनाहतासन,Anāhatāsana,Heart Melting Pose,Anāhata = unstruck (referring to the heart chakra); Āsana = posture,,,,,x,,,3,"Elbow flexors, shoulder extensors, retractors, and elevators. Chest, abdominals, hip extensors.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]], [[Ardhottānāsana]], [[Ālāsana]], [[Bālāsana]], [[Bharmanāsana]], [[Garuḍāsana]], [[Gomukhāsana B]], [[Tāḍāsana]], [[Utkaṭāsana]].","Knee flexors. Hip flexors and adductors. Back extensors, shoulder extensors, protractors, and retractors, external rotators of the arm, elbow extensors, wrist flexors.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]], [[Ardhottānāsana]], [[Ālāsana]], [[Bālāsana]], [[Bharmanāsana]], [[Baddhakoṇāsana A]], [[Utkaṭāsana]], [[Mālāsana]], [[Pārśvottānāsana]].","Poses requiring open shoulders, external rotation of the arms: [[Adhomukhaśvānāsana]], [[Adhomukhavṛkṣāsana]], [[Ūrdhva Dhanurāsana]]; [[Gomukhāsana B]] arms.",,5
Ananda Balasana,आनन्दबालासन,Ānandabālāsana,Happy Baby Pose,Ānanda = bliss; Bāla = baby; Āsana = posture,,,,,x,x,Entrega,,,,,,,,6
Anjaneyasana,अञ्जनेयासन,Añjanēyāsana,Low Lunge Pose,Añjaneya = son of Anjani (Hanuman); Āsana = posture,,,,,x,x,Vitalidad,"5,4","Back leg: knee flexors, hip flexors. Front leg: hip extensors. Abdominals, chest, shoulder elevators, shoulder extensors.","[[Adhomukhaśvānāsana]], [[Ūrdhvamukhaśvānāsana]], [[Apānāsana]], [[Rājakapotāsana]], [[Bharmanāsana]], [[Tāḍāsana]], [[Utkaṭāsana]]. In itself an  pose.","Front leg: hip extensors, internal rotators of the leg. Rear leg: hip flexors, foot dorsiflexors. Intrinsic foot muscles, pelvic floor, hip abductors and adductors, transversus abdominis, shoulder flexors and protractors, external rotators of the arm, elbow extensors.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Rājakapotāsana]], [[Bharmanāsana]], [[Phalakāsana]], [[Śalabhāsana A]] and [[Śalabhāsana B]], [[Utkaṭāsana]], [[Anāhatāsana]], [[Uttānāsana]].","Back bends, arm balances with extended hips; [[Ālāsana]], [[Vṛkṣāsana]], [[Hanumānāsana]], [[Vajrāsana A]], [[Vīrabhadrāsana A]] and [[Virabhadrāsana C]]","[[Adhomukhaśvānāsana]], [[Bālāsana]], [[Uttānāsana]].",7
Ardha Baddha Padma Paschimottanasana,अर्धबद्धपद्मपश्चिमोत्तानासन,Ardhabaddhapadmapaścimottānāsana,Half Bound Lotus Forward Bend,Ardha = half; Baddha = bound; Padma = lotus; Paścima = west; Uttāna = intense stretch,yoga cikitsā,Pūrvottānāsana,Ardhabaddhapadmapaścimottānāsana,x,,,,,,,,,,,8
Ardha Baddha Padmottanasana,अर्धबद्धपद्मोत्तानासन,Ardhabaddhapadmottānāsana,Half Bound Lotus Forward Bend,Ardha = half; Baddha = bound; Padma = lotus; Uttāna = intense stretch,yoga cikitsā,Utthitahastapādāṅguṣṭhāsana C,Ardhabaddhapadmottānāsana,x,,,,8,"Standing leg: knee flexors, hip extensors. Folded leg: knee extensors, hip adductors, internal rotators of the leg. Back extensors, shoulder extensors of bound arm.","[[Adhomukhaśvānāsana]], [[Agnistambhāsana]], [[Gomukhāsana B]], [[Jānuśīrṣāsana A]], [[Padmāsana]], [[Paścimottānāsana A]], [[Uttānāsana]], [[Vṛkṣāsana]].","Standing leg: intrinsic muscles of foot, knee extensors, hip abductors, adductors and extensors, internal rotators of leg.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Jānuśīrṣāsana A]], [[Padmāsana]], [[Pārśvottānāsana]], [[Paścimottānāsana A]], [[Tāḍāsana]], [[Uttānāsana]], [[Vṛkṣāsana]].","Other [[Padmāsana]] poses: [[Kukkuṭāsana]], [[Ardhabaddhapadmapaścimottānāsana]]; [[Ardhabaddhapadmapaścimottānāsana]] to [[Chaturāṅgadaṇḍāsana]] (keeping Half Lotus positioning), to [[Adhomukhaśvānāsana]], hop forward to [[Tāḍāsana]]; [[Bharadvājāsana]].","[[Tāḍāsana]], [[Vinyāsa]], [[Ūrdhvamukhaśvānāsana]], [[Adhomukhaśvānāsana]].",9
Ardha Kapotasana,अर्धकपोतासन,Ardhakapotāsana,Half Pigeon Pose,Ardha = half; Kapota = pigeon; Āsana = posture,,,,,x,x,Apertura,,,,,,,,10
Ardha Matsyendrasana,अर्ध मत्स्येन्द्रासन​,Ardha Matsyendrāsana,Half Lord of the Fishes Pose,Ardha = half; Matsyendra = lord of the fishes,nāḍī śodhana,Bharadvājāsana,Ardha Matsyendrāsana,x,,,,6,"Hip extensors, external rotators of the leg, obliques, back extensors, chest, internal rotators of the arm, neck rotators.","[[Baddhakoṇāsana B]], [[Mṛgāsana]], Eka Pada Raj Koundinyasana Prep, [[Jānuśīrṣāsana A]], [[Marīchyāsana C]], [[Padmāsana]], [[Parivṛttatrikoṇāsana]], [[Parivṛttotkaṭāsana]], [[Supta Matsyendrāsana]], [[Vīrabhadrāsana A]].","Hip flexors, hip adductors, obliques, knee flexors, shoulder retractors and protractors.","[[Adhomukhaśvānāsana]], [[Baddhakoṇāsana B]], [[Bālāsana]], [[Garuḍāsana]], [[Gomukhāsana B]], [[Supta Matsyendrāsana]], [[Marīchyāsana A]] and C, [[Padmāsana]], [[Parivṛttapārśvakoṇāsana]], [[Parivṛttatrikoṇāsana]], [[Prasāritapādottānāsana A]].","Deeper twists, [[Pārśvabakāsana]], [[Kouṇḍinyāsana A]], [[Kouṇḍinyāsana A]], [[Aṣṭavakrāsana]].","[[Apānāsana]], [[Ānandabālāsana]], [[Daṇḍāsana]], [[Paścimottānāsana A]], [[Jānuśīrṣāsana A]].",11
Ardha Utkatasana,अर्धोत्कटासन,Ardhotkaṭāsana,Half Chair Pose,Ardha = half; Utkaṭa = powerful; Āsana = posture,,,,,,x,Vitalidad,,,,,,,,12
Ardha Uttanasana,अर्धोत्तानासन,Ardhottānāsana,Half Forward Bend,Ardha = half; Ut = intense; Tān = stretch; Āsana = posture,,,,,,x,Despertar,8,"Calves, knee flexors, hip extensors, back extensors, chest, shoulder elevators.","[[Rājakapotāsana]], [[Bharmanāsana]], [[Daṇḍāsana]], [[Tāḍāsana]], [[Suptapādāṅguṣṭhāsana A]], [[Uttānāsana]].","Intrinsic foot muscles, knee extensors, hip extensors, back extensors, transversus abdominis, shoulder retractors.","[[Adhomukhaśvānāsana]], [[Bharmanāsana]], [[Utkaṭāsana]], [[Uttānāsana]].","[[Uttānāsana]], [[Vīrabhadrāsana C]], [[Utkaṭāsana]], [[Paścimottānāsana A]].","[[Bālāsana]], [[Apānāsana]], [[Tāḍāsana]].",13
Astavakrasana,अष्टवक्रासन​,Aṣṭavakrāsana,Eight-Angle Pose,Named after Sage Aṣṭavakra (a sage with eight bends),tṛtīya śreṇī,Kouṇḍinyāsana B,Aṣṭavakrāsana,x,,,,"10,4","Wrist flexors, shoulder elevators and flexors, chest, obliques, knee flexors, hip extensors and abductors.","[[Adhomukhaśvānāsana]], [[Ūrdhvamukhaśvānāsana]], [[Bālāsana]], [[Supta Matsyendrāsana]], [[Marīchyāsana A]] and [[Marīchyāsana B]], [[Parivṛttapārśvakoṇāsana]], [[Parivṛttotkaṭāsana]], [[Uttānāsana]], [[Utthitapārśvakoṇāsana]].","Wrist synergists, elbow synergists, rotators of the arm, chest, shoulder stabilizers (emphasis adductors, protractors, retractors) obliques, abdominals, hip adductors and flexors, knee extensors, foot dorsiflexors.","[[Adhomukhaśvānāsana]], [[Ūrdhvamukhaśvānāsana]], [[Bakāsana B]], [[Bharmanāsana]], [[Chaturāṅgadaṇḍāsana]], [[Garuḍāsana]], [[Lolasana]], [[Marīchyāsana A]] and [[Marīchyāsana C]], [[Parivṛttapārśvakoṇāsana]], [[Parivṛttotkaṭāsana]], [[Pārśvabakāsana]], [[Utkaṭāsana]].",,"[[Vinyāsa]], [[Ūrdhvamukhaśvānāsana]], [[Adhomukhaśvānāsana]],[[Suptakoṇāsana]], [[Bālāsana]], [[Bhuja]].",14
Baddha Hasta Sirsasana A,बद्धहस्तशीर्षासन A,Baddhahastaśīrṣāsana A,Bound Hand Headstand A,Baddha = bound; Hasta = hand; Śīrṣa = head,nāḍī śodhana,Muktahastaśīrṣāsana C,Baddhahastaśīrṣāsana A,x,,,,,,,,,,,15
